goos: darwin
goarch: arm64
pkg: github.com/h0rn3t/gopolars/bench/cross
cpu: Apple M4 Pro
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  222061	      5389 ns/op	1484.48 MB/s	   16152 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  218763	      5409 ns/op	1478.94 MB/s	   16152 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   25698	     45797 ns/op	1746.85 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   26362	     44785 ns/op	1786.32 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   25968	     45884 ns/op	1743.55 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   26114	     45641 ns/op	1752.80 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   26100	     45648 ns/op	1752.54 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   26373	     45189 ns/op	1770.34 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   25978	     45473 ns/op	1759.29 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   25987	     45506 ns/op	1758.01 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   26432	     45453 ns/op	1760.05 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   26098	     47852 ns/op	1671.83 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    2953	    411776 ns/op	1942.81 MB/s	 1980155 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    2896	    412369 ns/op	1940.01 MB/s	 1980148 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    2918	    415759 ns/op	1924.19 MB/s	 1988340 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    2888	    417139 ns/op	1917.82 MB/s	 1971960 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    2902	    417801 ns/op	1914.79 MB/s	 1980147 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    2934	    415640 ns/op	1924.74 MB/s	 2004729 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    2860	    412790 ns/op	1938.03 MB/s	 1980150 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    2876	    415082 ns/op	1927.33 MB/s	 1988341 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    2907	    414522 ns/op	1929.94 MB/s	 1988347 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    2911	    428027 ns/op	1869.04 MB/s	 1980146 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     435	   2637948 ns/op	3032.66 MB/s	18693871 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     459	   2602644 ns/op	3073.80 MB/s	18734834 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     452	   2593936 ns/op	3084.12 MB/s	18693880 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     460	   2607079 ns/op	3068.57 MB/s	18726645 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     463	   2690367 ns/op	2973.57 MB/s	18693880 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     452	   2678181 ns/op	2987.10 MB/s	18693873 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     429	   2663617 ns/op	3003.43 MB/s	18734847 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     452	   2618153 ns/op	3055.59 MB/s	18726649 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     454	   2650966 ns/op	3017.77 MB/s	18726669 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     452	   2589360 ns/op	3089.57 MB/s	18726654 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      48	  24440832 ns/op	3273.21 MB/s	185147116 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      46	  24310460 ns/op	3290.76 MB/s	185106173 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      46	  24518357 ns/op	3262.86 MB/s	185130883 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      48	  24393643 ns/op	3279.54 MB/s	185261814 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      44	  24905778 ns/op	3212.11 MB/s	185106372 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      46	  24873466 ns/op	3216.28 MB/s	185163510 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      45	  24413920 ns/op	3276.82 MB/s	185163498 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      42	  25744697 ns/op	3107.44 MB/s	185147141 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      44	  24713911 ns/op	3237.04 MB/s	185122569 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      46	  24382915 ns/op	3280.99 MB/s	185098008 B/op	     101 allocs/op
PASS
ok  	github.com/h0rn3t/gopolars/bench/cross	149.913s
